,material_id,metal,anion,formula,oxidationstate,name
0,mp-570935,Li,I,Li2 I2,1.0,mp-570935Li2_I2
1,mp-1185319,Li,Cl,Li2 Cl2,1.0,mp-1185319Li2_Cl2
2,mp-976280,Li,Br,Li2 Br2,1.0,mp-976280Li2_Br2
3,mp-1138,Li,F,Li1 F1,1.0,mp-1138Li1_F1
4,mp-841,Li,O,Li4 O4,,mp-841Li4_O4
5,mp-1960,Li,O,Li2 O1,1.0,mp-1960Li2_O1
6,mp-995393,Li,S,Li2 S8,,mp-995393Li2_S8
7,mp-1153,Li,S,Li2 S1,1.0,mp-1153Li2_S1
8,mp-2251,Li,N,Li3 N1,1.0,mp-2251Li3_N1
9,mp-2659,Li,N,Li1 N3,,mp-2659Li1_N3
10,mp-23268,Na,I,Na1 I1,1.0,mp-23268Na1_I1
11,mp-1080771,Na,Cl,Na1 Cl7,,mp-1080771Na1_Cl7
12,mp-22862,Na,Cl,Na1 Cl1,1.0,mp-22862Na1_Cl1
13,mp-1189265,Na,Cl,Na4 Cl12,,mp-1189265Na4_Cl12
14,mp-22916,Na,Br,Na1 Br1,1.0,mp-22916Na1_Br1
15,mp-682,Na,F,Na1 F1,1.0,mp-682Na1_F1
16,mp-1901,Na,O,Na2 O4,,mp-1901Na2_O4
17,mp-2340,Na,O,Na6 O6,,mp-2340Na6_O6
18,mp-2352,Na,O,Na2 O1,1.0,mp-2352Na2_O1
19,mp-648,Na,S,Na2 S1,1.0,mp-648Na2_S1
20,mp-12180,Na,S,Na8 S16,,mp-12180Na8_S16
21,mp-28127,Na,S,Na8 S20,,mp-28127Na8_S20
22,mp-2400,Na,S,Na4 S4,,mp-2400Na4_S4
23,mp-22003,Na,N,Na1 N3,,mp-22003Na1_N3
24,mp-22898,K,I,K1 I1,1.0,mp-22898K1_I1
25,mp-23193,K,Cl,K1 Cl1,1.0,mp-23193K1_Cl1
26,mp-23251,K,Br,K1 Br1,1.0,mp-23251K1_Br1
27,mp-867934,K,F,K8 F24,,mp-867934K8_F24
28,mp-976802,K,F,K2 F4,,mp-976802K2_F4
29,mp-463,K,F,K1 F1,1.0,mp-463K1_F1
30,mp-1866,K,O,K1 O2,,mp-1866K1_O2
31,mp-2672,K,O,K4 O4,,mp-2672K4_O4
32,mp-971,K,O,K2 O1,1.0,mp-971K2_O1
33,mp-1287,K,S,K6 S6,,mp-1287K6_S6
34,mp-17146,K,S,K8 S20,,mp-17146K8_S20
35,mp-7667,K,S,K4 S6,,mp-7667K4_S6
36,mp-1022,K,S,K2 S1,1.0,mp-1022K2_S1
37,mp-1196514,K,S,K8 S24,,mp-1196514K8_S24
38,mp-827,K,N,K2 N6,,mp-827K2_N6
39,mp-28328,Rb,I,Rb4 I12,,mp-28328Rb4_I12
40,mp-22903,Rb,I,Rb1 I1,1.0,mp-22903Rb1_I1
41,mp-23295,Rb,Cl,Rb1 Cl1,1.0,mp-23295Rb1_Cl1
42,mp-22867,Rb,Br,Rb1 Br1,1.0,mp-22867Rb1_Br1
43,mp-11718,Rb,F,Rb1 F1,1.0,mp-11718Rb1_F1
44,mp-1179734,Rb,F,Rb4 F12,,mp-1179734Rb4_F12
45,mp-7895,Rb,O,Rb2 O2,,mp-7895Rb2_O2
46,mp-753746,Rb,O,Rb2 O1,1.0,mp-753746Rb2_O1
47,mp-27561,Rb,O,Rb18 O4,,mp-27561Rb18_O4
48,mp-12105,Rb,O,Rb1 O2,,mp-12105Rb1_O2
49,mp-7446,Rb,S,Rb4 S6,,mp-7446Rb4_S6
50,mp-16911,Rb,S,Rb8 S20,,mp-16911Rb8_S20
51,mp-9062,Rb,S,Rb6 S6,,mp-9062Rb6_S6
52,mp-8041,Rb,S,Rb2 S1,1.0,mp-8041Rb2_S1
53,mp-743,Rb,N,Rb2 N6,,mp-743Rb2_N6
54,mp-22876,Cs,I,Cs4 I12,,mp-22876Cs4_I12
55,mp-614603,Cs,I,Cs1 I1,1.0,mp-614603Cs1_I1
56,mp-571011,Cs,I,Cs4 I16,,mp-571011Cs4_I16
57,mp-573697,Cs,Cl,Cs1 Cl1,1.0,mp-573697Cs1_Cl1
58,mp-571222,Cs,Br,Cs1 Br1,1.0,mp-571222Cs1_Br1
59,mp-27641,Cs,Br,Cs4 Br12,,mp-27641Cs4_Br12
